Predicted Date,Type of Error
2019-04-25 05:29:42.517954-05:00,Gcm notification Exception
2019-04-25 05:29:43.022207-05:00,DB Error
2019-04-25 05:29:43.222418-05:00,Gcm notification Exception
2019-04-25 05:29:43.263385-05:00,APIs Error Request
2019-04-25 05:29:43.926892-05:00,Gcm notification Exception
2019-04-25 05:29:43.982719-05:00,DB Error
2019-04-25 05:29:44.631377-05:00,Gcm notification Exception
2019-04-25 05:29:44.981607-05:00,DB Error
2019-04-25 05:29:45.335872-05:00,Gcm notification Exception
2019-04-25 05:29:45.598471-05:00,APIs Error Request
2019-04-25 05:29:45.916188-05:00,DB Error
2019-04-25 05:29:46.040378-05:00,Gcm notification Exception
2019-04-25 05:29:46.744895-05:00,Gcm notification Exception
2019-04-25 05:29:46.887438-05:00,DB Error
2019-04-25 05:29:47.449422-05:00,Gcm notification Exception
2019-04-25 05:29:47.795326-05:00,DB Error
2019-04-25 05:29:47.831227-05:00,APIs Error Request
2019-04-25 05:29:48.153960-05:00,Gcm notification Exception
2019-04-25 05:29:48.740594-05:00,DB Error
2019-04-25 05:29:48.858509-05:00,Gcm notification Exception
2019-04-25 05:29:49.563068-05:00,Gcm notification Exception
2019-04-25 05:29:49.624982-05:00,DB Error
2019-04-25 05:29:50.063969-05:00,APIs Error Request
2019-04-25 05:29:50.267638-05:00,Gcm notification Exception
2019-04-25 05:29:50.548372-05:00,DB Error
2019-04-25 05:29:50.972218-05:00,Gcm notification Exception
2019-04-25 05:29:51.413800-05:00,DB Error
2019-04-25 05:29:51.676809-05:00,Gcm notification Exception
2019-04-25 05:29:52.281502-05:00,APIs Error Request
2019-04-25 05:29:52.319971-05:00,DB Error
2019-04-25 05:29:52.381411-05:00,Gcm notification Exception
2019-04-25 05:29:53.086023-05:00,Gcm notification Exception
2019-04-25 05:29:53.170981-05:00,DB Error
2019-04-25 05:29:53.790646-05:00,Gcm notification Exception
2019-04-25 05:29:54.064232-05:00,DB Error
2019-04-25 05:29:54.495280-05:00,Gcm notification Exception
2019-04-25 05:29:54.497499-05:00,APIs Error Request
2019-04-25 05:29:54.904776-05:00,DB Error
2019-04-25 05:29:55.199924-05:00,Gcm notification Exception
2019-04-25 05:29:55.788680-05:00,DB Error
2019-04-25 05:29:55.904579-05:00,Gcm notification Exception
2019-04-25 05:29:56.609244-05:00,Gcm notification Exception
2019-04-25 05:29:56.621927-05:00,DB Error
2019-04-25 05:29:56.711132-05:00,APIs Error Request
2019-04-25 05:29:57.313920-05:00,Gcm notification Exception
2019-04-25 05:29:57.499267-05:00,DB Error
2019-04-25 05:29:58.018607-05:00,Gcm notification Exception
2019-04-25 05:29:58.327620-05:00,DB Error
2019-04-25 05:29:58.723304-05:00,Gcm notification Exception
2019-04-25 05:29:58.924354-05:00,APIs Error Request
2019-04-25 05:29:59.200463-05:00,DB Error
2019-04-25 05:29:59.428012-05:00,Gcm notification Exception
2019-04-25 05:30:00.025670-05:00,DB Error
2019-04-25 05:30:00.132731-05:00,Gcm notification Exception
2019-04-25 05:30:00.837460-05:00,Gcm notification Exception
2019-04-25 05:30:00.895492-05:00,DB Error
2019-04-25 05:30:01.137249-05:00,APIs Error Request
2019-04-25 05:30:01.542200-05:00,Gcm notification Exception
2019-04-25 05:30:01.718780-05:00,DB Error
2019-04-25 05:30:02.246950-05:00,Gcm notification Exception
2019-04-25 05:30:02.586601-05:00,DB Error
2019-04-25 05:30:02.951711-05:00,Gcm notification Exception
2019-04-25 05:30:03.350115-05:00,APIs Error Request
2019-04-25 05:30:03.408801-05:00,DB Error
2019-04-25 05:30:03.656483-05:00,Gcm notification Exception
2019-04-25 05:30:04.275305-05:00,DB Error
